Token,Docs
deep,bible_12.txt (1) -> bible_3.txt (1) -> bible_5.txt (1) -> bible_10.txt (2) -> bible_13.txt (4) -> bible_14.txt (5) -> bible_1.txt (6) -> bible_7.txt (6) -> bible_9.txt (7) -> bible_11.txt (11) -> bible_8.txt (21)
spirit,bible_3.txt (5) -> bible_1.txt (6) -> bible_2.txt (14) -> bible_6.txt (14) -> bible_5.txt (15) -> bible_10.txt (20) -> bible_7.txt (20) -> bible_11.txt (24) -> bible_4.txt (24) -> bible_8.txt (31) -> bible_12.txt (44) -> bible_15.txt (44) -> bible_13.txt (46) -> bible_9.txt (58) -> bible_14.txt (140)
moved,bible_3.txt (1) -> bible_1.txt (2) -> bible_11.txt (2) -> bible_13.txt (2) -> bible_5.txt (3) -> bible_6.txt (3) -> bible_14.txt (4) -> bible_15.txt (4) -> bible_7.txt (4) -> bible_10.txt (5) -> bible_4.txt (5) -> bible_12.txt (8) -> bible_9.txt (11) -> bible_8.txt (21)
waters,bible_14.txt (1) -> bible_6.txt (3) -> bible_2.txt (6) -> bible_12.txt (7) -> bible_4.txt (7) -> bible_5.txt (11) -> bible_15.txt (13) -> bible_3.txt (18) -> bible_7.txt (23) -> bible_10.txt (24) -> bible_11.txt (38) -> bible_9.txt (43) -> bible_8.txt (44) -> bible_1.txt (49)
said,bible_15.txt (37) -> bible_8.txt (42) -> bible_14.txt (88) -> bible_2.txt (96) -> bible_9.txt (101) -> bible_10.txt (117) -> bible_11.txt (135) -> bible_7.txt (167) -> bible_3.txt (184) -> bible_6.txt (212) -> bible_12.txt (394) -> bible_4.txt (574) -> bible_13.txt (593) -> bible_5.txt (628) -> bible_1.txt (631)
let,bible_2.txt (45) -> bible_3.txt (55) -> bible_11.txt (58) -> bible_6.txt (59) -> bible_13.txt (63) -> bible_15.txt (69) -> bible_12.txt (77) -> bible_10.txt (83) -> bible_9.txt (91) -> bible_4.txt (103) -> bible_5.txt (115) -> bible_7.txt (122) -> bible_14.txt (146) -> bible_1.txt (168) -> bible_8.txt (257)
there,bible_2.txt (78) -> bible_15.txt (92) -> bible_8.txt (116) -> bible_10.txt (125) -> bible_6.txt (134) -> bible_11.txt (136) -> bible_3.txt (136) -> bible_7.txt (140) -> bible_14.txt (148) -> bible_13.txt (182) -> bible_1.txt (185) -> bible_12.txt (187) -> bible_9.txt (200) -> bible_4.txt (210) -> bible_5.txt (231)
be,bible_6.txt (206) -> bible_4.txt (262) -> bible_5.txt (267) -> bible_15.txt (312) -> bible_7.txt (318) -> bible_13.txt (371) -> bible_1.txt (423) -> bible_10.txt (489) -> bible_3.txt (490) -> bible_8.txt (551) -> bible_12.txt (590) -> bible_11.txt (598) -> bible_14.txt (638) -> bible_9.txt (709) -> bible_2.txt (808)
light,bible_3.txt (2) -> bible_6.txt (3) -> bible_10.txt (6) -> bible_4.txt (8) -> bible_11.txt (11) -> bible_1.txt (14) -> bible_2.txt (14) -> bible_5.txt (14) -> bible_15.txt (16) -> bible_12.txt (23) -> bible_14.txt (25) -> bible_8.txt (29) -> bible_7.txt (35) -> bible_9.txt (35) -> bible_13.txt (37)
saw,bible_8.txt (7) -> bible_2.txt (13) -> bible_14.txt (15) -> bible_10.txt (18) -> bible_7.txt (19) -> bible_9.txt (19) -> bible_3.txt (23) -> bible_6.txt (28) -> bible_11.txt (35) -> bible_4.txt (41) -> bible_15.txt (44) -> bible_5.txt (48) -> bible_1.txt (71) -> bible_12.txt (81) -> bible_13.txt (86)
that,bible_6.txt (640) -> bible_15.txt (727) -> bible_2.txt (728) -> bible_7.txt (753) -> bible_11.txt (775) -> bible_1.txt (791) -> bible_8.txt (808) -> bible_5.txt (822) -> bible_4.txt (834) -> bible_3.txt (859) -> bible_10.txt (890) -> bible_12.txt (922) -> bible_9.txt (1005) -> bible_13.txt (1144) -> bible_14.txt (1229)
it,bible_15.txt (174) -> bible_8.txt (257) -> bible_6.txt (278) -> bible_14.txt (317) -> bible_7.txt (359) -> bible_4.txt (385) -> bible_5.txt (405) -> bible_13.txt (413) -> bible_10.txt (416) -> bible_3.txt (417) -> bible_11.txt (425) -> bible_1.txt (486) -> bible_12.txt (495) -> bible_9.txt (514) -> bible_2.txt (800)
good,bible_2.txt (12) -> bible_11.txt (19) -> bible_6.txt (29) -> bible_4.txt (36) -> bible_3.txt (38) -> bible_10.txt (41) -> bible_7.txt (43) -> bible_13.txt (44) -> bible_5.txt (44) -> bible_15.txt (51) -> bible_1.txt (52) -> bible_9.txt (56) -> bible_12.txt (64) -> bible_14.txt (94) -> bible_8.txt (97)
divided,bible_10.txt (1) -> bible_15.txt (1) -> bible_7.txt (2) -> bible_14.txt (3) -> bible_9.txt (3) -> bible_5.txt (4) -> bible_6.txt (4) -> bible_8.txt (4) -> bible_3.txt (6) -> bible_11.txt (7) -> bible_13.txt (7) -> bible_12.txt (8) -> bible_4.txt (8) -> bible_1.txt (11)
from,bible_15.txt (150) -> bible_6.txt (180) -> bible_2.txt (184) -> bible_13.txt (213) -> bible_5.txt (216) -> bible_14.txt (217) -> bible_12.txt (224) -> bible_7.txt (225) -> bible_1.txt (235) -> bible_4.txt (277) -> bible_11.txt (282) -> bible_9.txt (308) -> bible_3.txt (313) -> bible_8.txt (316) -> bible_10.txt (317)
called,bible_11.txt (11) -> bible_8.txt (14) -> bible_7.txt (15) -> bible_2.txt (16) -> bible_3.txt (21) -> bible_10.txt (24) -> bible_6.txt (24) -> bible_15.txt (32) -> bible_9.txt (42) -> bible_4.txt (53) -> bible_5.txt (61) -> bible_14.txt (62) -> bible_12.txt (64) -> bible_13.txt (75) -> bible_1.txt (119)
day,bible_15.txt (47) -> bible_6.txt (65) -> bible_8.txt (66) -> bible_14.txt (85) -> bible_10.txt (114) -> bible_9.txt (118) -> bible_13.txt (119) -> bible_2.txt (126) -> bible_7.txt (127) -> bible_11.txt (132) -> bible_1.txt (133) -> bible_5.txt (134) -> bible_12.txt (137) -> bible_4.txt (160) -> bible_3.txt (171)
he,bible_10.txt (413) -> bible_15.txt (429) -> bible_11.txt (492) -> bible_14.txt (505) -> bible_3.txt (534) -> bible_9.txt (578) -> bible_7.txt (623) -> bible_4.txt (660) -> bible_2.txt (683) -> bible_6.txt (689) -> bible_8.txt (751) -> bible_1.txt (871) -> bible_12.txt (952) -> bible_5.txt (957) -> bible_13.txt (1284)
night,bible_6.txt (9) -> bible_15.txt (10) -> bible_2.txt (12) -> bible_11.txt (14) -> bible_12.txt (14) -> bible_10.txt (15) -> bible_3.txt (16) -> bible_13.txt (18) -> bible_5.txt (19) -> bible_14.txt (22) -> bible_4.txt (27) -> bible_8.txt (29) -> bible_9.txt (29) -> bible_7.txt (31) -> bible_1.txt (42)
evening,bible_14.txt (1) -> bible_3.txt (1) -> bible_13.txt (2) -> bible_2.txt (2) -> bible_9.txt (2) -> bible_11.txt (4) -> bible_4.txt (4) -> bible_5.txt (4) -> bible_6.txt (5) -> bible_7.txt (6) -> bible_12.txt (8) -> bible_8.txt (8) -> bible_1.txt (13)
morning,bible_14.txt (1) -> bible_15.txt (2) -> bible_13.txt (5) -> bible_10.txt (6) -> bible_12.txt (10) -> bible_6.txt (10) -> bible_3.txt (15) -> bible_7.txt (15) -> bible_5.txt (17) -> bible_8.txt (17) -> bible_9.txt (18) -> bible_11.txt (19) -> bible_2.txt (23) -> bible_4.txt (28) -> bible_1.txt (41)
were,bible_9.txt (40) -> bible_8.txt (62) -> bible_10.txt (115) -> bible_3.txt (139) -> bible_15.txt (151) -> bible_11.txt (159) -> bible_12.txt (195) -> bible_14.txt (197) -> bible_7.txt (200) -> bible_2.txt (204) -> bible_1.txt (209) -> bible_5.txt (231) -> bible_4.txt (241) -> bible_13.txt (256) -> bible_6.txt (373)
first,bible_8.txt (1) -> bible_10.txt (9) -> bible_9.txt (10) -> bible_4.txt (12) -> bible_5.txt (13) -> bible_1.txt (25) -> bible_6.txt (26) -> bible_11.txt (31) -> bible_7.txt (32) -> bible_13.txt (37) -> bible_14.txt (40) -> bible_15.txt (45) -> bible_3.txt (45) -> bible_12.txt (50) -> bible_2.txt (67)
a,bible_6.txt (267) -> bible_7.txt (390) -> bible_5.txt (471) -> bible_14.txt (475) -> bible_15.txt (479) -> bible_4.txt (494) -> bible_1.txt (502) -> bible_10.txt (540) -> bible_3.txt (547) -> bible_12.txt (552) -> bible_11.txt (578) -> bible_13.txt (582) -> bible_8.txt (678) -> bible_2.txt (759) -> bible_9.txt (921)
firmament,bible_11.txt (1) -> bible_8.txt (2) -> bible_10.txt (5) -> bible_1.txt (9)
midst,bible_14.txt (3) -> bible_6.txt (5) -> bible_7.txt (5) -> bible_4.txt (9) -> bible_15.txt (13) -> bible_2.txt (14) -> bible_5.txt (14) -> bible_1.txt (17) -> bible_13.txt (21) -> bible_8.txt (23) -> bible_12.txt (28) -> bible_9.txt (28) -> bible_3.txt (38) -> bible_10.txt (53) -> bible_11.txt (93)
divide,bible_10.txt (1) -> bible_13.txt (2) -> bible_5.txt (3) -> bible_7.txt (3) -> bible_9.txt (3) -> bible_4.txt (4) -> bible_11.txt (5) -> bible_2.txt (5) -> bible_8.txt (5) -> bible_1.txt (9) -> bible_3.txt (9)
made,bible_12.txt (51) -> bible_15.txt (58) -> bible_3.txt (66) -> bible_4.txt (69) -> bible_9.txt (69) -> bible_10.txt (72) -> bible_13.txt (78) -> bible_8.txt (82) -> bible_11.txt (86) -> bible_1.txt (90) -> bible_7.txt (105) -> bible_14.txt (107) -> bible_5.txt (122) -> bible_2.txt (172) -> bible_6.txt (178)
which,bible_8.txt (133) -> bible_9.txt (181) -> bible_11.txt (207) -> bible_4.txt (234) -> bible_10.txt (244) -> bible_7.txt (250) -> bible_2.txt (252) -> bible_5.txt (266) -> bible_1.txt (272) -> bible_12.txt (274) -> bible_6.txt (283) -> bible_15.txt (329) -> bible_13.txt (495) -> bible_3.txt (497) -> bible_14.txt (503)
under,bible_13.txt (13) -> bible_12.txt (16) -> bible_3.txt (17) -> bible_7.txt (18) -> bible_4.txt (20) -> bible_15.txt (21) -> bible_8.txt (21) -> bible_1.txt (24) -> bible_6.txt (25) -> bible_11.txt (26) -> bible_10.txt (27) -> bible_5.txt (32) -> bible_2.txt (35) -> bible_14.txt (45) -> bible_9.txt (57)
above,bible_12.txt (3) -> bible_4.txt (3) -> bible_15.txt (9) -> bible_9.txt (10) -> bible_11.txt (11) -> bible_13.txt (12) -> bible_10.txt (13) -> bible_5.txt (13) -> bible_1.txt (14) -> bible_6.txt (14) -> bible_3.txt (17) -> bible_7.txt (18) -> bible_14.txt (24) -> bible_2.txt (28) -> bible_8.txt (34)
so,bible_15.txt (55) -> bible_2.txt (58) -> bible_11.txt (83) -> bible_8.txt (86) -> bible_13.txt (87) -> bible_12.txt (97) -> bible_10.txt (98) -> bible_3.txt (100) -> bible_1.txt (112) -> bible_9.txt (114) -> bible_6.txt (127) -> bible_7.txt (140) -> bible_4.txt (152) -> bible_14.txt (158) -> bible_5.txt (223)
second,bible_3.txt (3) -> bible_11.txt (5) -> bible_14.txt (5) -> bible_9.txt (5) -> bible_10.txt (6) -> bible_4.txt (10) -> bible_13.txt (11) -> bible_5.txt (13) -> bible_12.txt (14) -> bible_1.txt (17) -> bible_7.txt (17) -> bible_2.txt (22) -> bible_15.txt (23) -> bible_6.txt (30)
gathered,bible_15.txt (3) -> bible_10.txt (5) -> bible_8.txt (7) -> bible_14.txt (8) -> bible_13.txt (13) -> bible_11.txt (14) -> bible_2.txt (15) -> bible_3.txt (19) -> bible_12.txt (21) -> bible_9.txt (21) -> bible_1.txt (24) -> bible_5.txt (24) -> bible_6.txt (24) -> bible_7.txt (28) -> bible_4.txt (40)
together,bible_15.txt (9) -> bible_6.txt (16) -> bible_10.txt (18) -> bible_11.txt (19) -> bible_3.txt (20) -> bible_2.txt (23) -> bible_1.txt (25) -> bible_8.txt (30) -> bible_5.txt (32) -> bible_12.txt (35) -> bible_4.txt (42) -> bible_13.txt (45) -> bible_14.txt (53) -> bible_7.txt (57) -> bible_9.txt (60)
unto,bible_9.txt (299) -> bible_6.txt (311) -> bible_15.txt (313) -> bible_8.txt (430) -> bible_11.txt (445) -> bible_7.txt (469) -> bible_10.txt (522) -> bible_14.txt (525) -> bible_5.txt (679) -> bible_2.txt (683) -> bible_4.txt (817) -> bible_12.txt (827) -> bible_1.txt (886) -> bible_13.txt (887) -> bible_3.txt (904)
one,bible_8.txt (56) -> bible_6.txt (70) -> bible_15.txt (80) -> bible_1.txt (98) -> bible_7.txt (99) -> bible_10.txt (101) -> bible_3.txt (111) -> bible_4.txt (119) -> bible_5.txt (127) -> bible_11.txt (132) -> bible_9.txt (154) -> bible_12.txt (176) -> bible_13.txt (181) -> bible_14.txt (212) -> bible_2.txt (252)
place,bible_14.txt (16) -> bible_15.txt (19) -> bible_8.txt (27) -> bible_12.txt (38) -> bible_13.txt (45) -> bible_11.txt (50) -> bible_6.txt (50) -> bible_10.txt (51) -> bible_4.txt (52) -> bible_5.txt (57) -> bible_9.txt (58) -> bible_1.txt (59) -> bible_2.txt (60) -> bible_7.txt (65) -> bible_3.txt (70)
dry,bible_15.txt (1) -> bible_5.txt (1) -> bible_13.txt (2) -> bible_2.txt (2) -> bible_4.txt (3) -> bible_12.txt (4) -> bible_7.txt (4) -> bible_10.txt (6) -> bible_3.txt (6) -> bible_8.txt (8) -> bible_1.txt (11) -> bible_11.txt (11) -> bible_9.txt (12)
land,bible_14.txt (3) -> bible_15.txt (4) -> bible_13.txt (27) -> bible_8.txt (45) -> bible_12.txt (52) -> bible_7.txt (52) -> bible_5.txt (73) -> bible_6.txt (112) -> bible_9.txt (117) -> bible_4.txt (129) -> bible_2.txt (136) -> bible_11.txt (182) -> bible_10.txt (214) -> bible_1.txt (286) -> bible_3.txt (286)
appear,bible_10.txt (1) -> bible_11.txt (1) -> bible_6.txt (1) -> bible_1.txt (2) -> bible_13.txt (2) -> bible_3.txt (3) -> bible_4.txt (3) -> bible_8.txt (3) -> bible_12.txt (5) -> bible_9.txt (6) -> bible_14.txt (9) -> bible_2.txt (9) -> bible_15.txt (10)
gathering,bible_12.txt (1) -> bible_3.txt (1) -> bible_6.txt (1) -> bible_1.txt (2) -> bible_14.txt (2) -> bible_5.txt (2) -> bible_9.txt (2)
seas,bible_10.txt (1) -> bible_14.txt (1) -> bible_3.txt (1) -> bible_7.txt (1) -> bible_9.txt (1) -> bible_1.txt (2) -> bible_2.txt (2) -> bible_8.txt (5) -> bible_11.txt (11)
bring,bible_15.txt (12) -> bible_13.txt (25) -> bible_14.txt (26) -> bible_8.txt (26) -> bible_4.txt (27) -> bible_6.txt (27) -> bible_12.txt (37) -> bible_7.txt (45) -> bible_5.txt (49) -> bible_3.txt (63) -> bible_11.txt (66) -> bible_9.txt (68) -> bible_1.txt (73) -> bible_10.txt (80) -> bible_2.txt (101)
forth,bible_15.txt (23) -> bible_14.txt (25) -> bible_2.txt (39) -> bible_6.txt (41) -> bible_4.txt (42) -> bible_7.txt (46) -> bible_3.txt (47) -> bible_5.txt (48) -> bible_8.txt (52) -> bible_13.txt (69) -> bible_1.txt (77) -> bible_11.txt (82) -> bible_10.txt (88) -> bible_12.txt (103) -> bible_9.txt (114)
grass,bible_1.txt (2) -> bible_13.txt (2) -> bible_5.txt (2) -> bible_6.txt (2) -> bible_10.txt (3) -> bible_7.txt (3) -> bible_12.txt (4) -> bible_3.txt (4) -> bible_15.txt (7) -> bible_11.txt (9) -> bible_9.txt (11) -> bible_8.txt (13)
herb,bible_3.txt (1) -> bible_6.txt (1) -> bible_7.txt (2) -> bible_8.txt (2) -> bible_9.txt (2) -> bible_1.txt (11)
yielding,bible_10.txt (1) -> bible_9.txt (1) -> bible_1.txt (5)
seed,bible_11.txt (7) -> bible_15.txt (7) -> bible_4.txt (7) -> bible_6.txt (7) -> bible_5.txt (9) -> bible_13.txt (12) -> bible_7.txt (13) -> bible_14.txt (17) -> bible_3.txt (19) -> bible_8.txt (19) -> bible_10.txt (23) -> bible_12.txt (23) -> bible_9.txt (27) -> bible_2.txt (30) -> bible_1.txt (59)
fruit,bible_4.txt (1) -> bible_5.txt (1) -> bible_6.txt (1) -> bible_7.txt (5) -> bible_15.txt (8) -> bible_1.txt (11) -> bible_14.txt (12) -> bible_2.txt (13) -> bible_10.txt (16) -> bible_8.txt (16) -> bible_9.txt (20) -> bible_13.txt (23) -> bible_3.txt (25) -> bible_11.txt (27) -> bible_12.txt (29)
tree,bible_2.txt (2) -> bible_6.txt (4) -> bible_14.txt (6) -> bible_7.txt (6) -> bible_4.txt (7) -> bible_8.txt (7) -> bible_15.txt (9) -> bible_3.txt (9) -> bible_5.txt (12) -> bible_10.txt (15) -> bible_13.txt (16) -> bible_12.txt (24) -> bible_1.txt (25) -> bible_11.txt (26) -> bible_9.txt (33)
after,bible_8.txt (33) -> bible_9.txt (38) -> bible_12.txt (50) -> bible_10.txt (54) -> bible_11.txt (55) -> bible_15.txt (59) -> bible_6.txt (70) -> bible_13.txt (73) -> bible_7.txt (86) -> bible_4.txt (97) -> bible_3.txt (99) -> bible_5.txt (107) -> bible_2.txt (115) -> bible_14.txt (117) -> bible_1.txt (126)
his,bible_14.txt (253) -> bible_15.txt (269) -> bible_10.txt (390) -> bible_11.txt (453) -> bible_13.txt (468) -> bible_3.txt (496) -> bible_9.txt (545) -> bible_4.txt (558) -> bible_12.txt (559) -> bible_2.txt (679) -> bible_7.txt (683) -> bible_5.txt (693) -> bible_8.txt (788) -> bible_6.txt (795) -> bible_1.txt (844)
kind,bible_11.txt (1) -> bible_13.txt (1) -> bible_7.txt (1) -> bible_9.txt (1) -> bible_6.txt (2) -> bible_12.txt (3) -> bible_14.txt (3) -> bible_15.txt (3) -> bible_3.txt (4) -> bible_2.txt (10) -> bible_1.txt (17)
whose,bible_3.txt (7) -> bible_2.txt (13) -> bible_12.txt (15) -> bible_1.txt (19) -> bible_15.txt (19) -> bible_7.txt (19) -> bible_10.txt (20) -> bible_14.txt (20) -> bible_6.txt (20) -> bible_8.txt (20) -> bible_5.txt (21) -> bible_4.txt (23) -> bible_13.txt (27) -> bible_9.txt (29) -> bible_11.txt (42)
is,bible_6.txt (170) -> bible_5.txt (298) -> bible_4.txt (301) -> bible_3.txt (308) -> bible_1.txt (369) -> bible_11.txt (375) -> bible_2.txt (409) -> bible_10.txt (418) -> bible_7.txt (429) -> bible_15.txt (466) -> bible_13.txt (536) -> bible_12.txt (572) -> bible_14.txt (733) -> bible_9.txt (792) -> bible_8.txt (837)
itself,bible_3.txt (1) -> bible_5.txt (1) -> bible_7.txt (1) -> bible_1.txt (2) -> bible_15.txt (2) -> bible_11.txt (3) -> bible_10.txt (4) -> bible_13.txt (4) -> bible_8.txt (4) -> bible_12.txt (5) -> bible_2.txt (5) -> bible_14.txt (9) -> bible_9.txt (9)
brought,bible_15.txt (8) -> bible_8.txt (38) -> bible_14.txt (39) -> bible_9.txt (41) -> bible_12.txt (45) -> bible_13.txt (46) -> bible_10.txt (54) -> bible_2.txt (63) -> bible_4.txt (65) -> bible_3.txt (68) -> bible_7.txt (69) -> bible_11.txt (73) -> bible_5.txt (78) -> bible_1.txt (87) -> bible_6.txt (89)
third,bible_9.txt (2) -> bible_14.txt (7) -> bible_4.txt (7) -> bible_10.txt (8) -> bible_7.txt (8) -> bible_11.txt (11) -> bible_2.txt (11) -> bible_3.txt (12) -> bible_12.txt (15) -> bible_1.txt (16) -> bible_13.txt (16) -> bible_5.txt (20) -> bible_15.txt (23) -> bible_6.txt (29)
lights,bible_11.txt (1) -> bible_13.txt (1) -> bible_15.txt (1) -> bible_5.txt (1) -> bible_8.txt (1) -> bible_14.txt (2) -> bible_1.txt (3)
to,bible_2.txt (602) -> bible_15.txt (610) -> bible_8.txt (694) -> bible_11.txt (793) -> bible_3.txt (832) -> bible_12.txt (867) -> bible_10.txt (886) -> bible_1.txt (892) -> bible_9.txt (915) -> bible_13.txt (942) -> bible_7.txt (968) -> bible_6.txt (1129) -> bible_4.txt (1152) -> bible_5.txt (1176) -> bible_14.txt (1201)
them,bible_15.txt (217) -> bible_5.txt (281) -> bible_9.txt (326) -> bible_6.txt (347) -> bible_14.txt (358) -> bible_1.txt (374) -> bible_7.txt (394) -> bible_2.txt (430) -> bible_4.txt (433) -> bible_8.txt (438) -> bible_11.txt (483) -> bible_3.txt (518) -> bible_12.txt (603) -> bible_13.txt (612) -> bible_10.txt (616)
for,bible_4.txt (463) -> bible_15.txt (466) -> bible_13.txt (491) -> bible_5.txt (499) -> bible_1.txt (508) -> bible_6.txt (524) -> bible_3.txt (552) -> bible_7.txt (558) -> bible_12.txt (584) -> bible_10.txt (594) -> bible_11.txt (594) -> bible_2.txt (677) -> bible_9.txt (754) -> bible_8.txt (820) -> bible_14.txt (911)
signs,bible_15.txt (1) -> bible_2.txt (1) -> bible_7.txt (1) -> bible_9.txt (1) -> bible_10.txt (3) -> bible_11.txt (3) -> bible_4.txt (3) -> bible_8.txt (4) -> bible_14.txt (5) -> bible_12.txt (6) -> bible_3.txt (6) -> bible_1.txt (8) -> bible_13.txt (11)
seasons,bible_11.txt (1) -> bible_12.txt (1) -> bible_13.txt (1) -> bible_2.txt (1) -> bible_8.txt (2) -> bible_1.txt (3) -> bible_14.txt (3)
days,bible_15.txt (27) -> bible_14.txt (32) -> bible_8.txt (37) -> bible_4.txt (43) -> bible_5.txt (50) -> bible_6.txt (50) -> bible_9.txt (55) -> bible_13.txt (62) -> bible_12.txt (64) -> bible_10.txt (66) -> bible_3.txt (69) -> bible_11.txt (74) -> bible_1.txt (80) -> bible_2.txt (81) -> bible_7.txt (91)
years,bible_10.txt (11) -> bible_12.txt (12) -> bible_14.txt (14) -> bible_15.txt (14) -> bible_8.txt (18) -> bible_3.txt (19) -> bible_11.txt (20) -> bible_9.txt (20) -> bible_13.txt (25) -> bible_4.txt (33) -> bible_7.txt (39) -> bible_5.txt (48) -> bible_2.txt (65) -> bible_6.txt (79) -> bible_1.txt (125)
give,bible_15.txt (36) -> bible_6.txt (36) -> bible_14.txt (37) -> bible_7.txt (38) -> bible_2.txt (48) -> bible_5.txt (51) -> bible_11.txt (53) -> bible_4.txt (58) -> bible_10.txt (61) -> bible_9.txt (62) -> bible_12.txt (64) -> bible_13.txt (73) -> bible_8.txt (78) -> bible_1.txt (88) -> bible_3.txt (100)
